area,latitude,longitude,plot,probe,depth_cm,organic_contact_pct,mineral_soil_contact_pct,live_moss_pct,dead_moss_pct,burned_moss_pct,upper_duff_pct,lower_duff_pct,A,B,C
Alaska,69.633,-148.68365,Sedge 1-1,27639-1,18,1,0,0,0.611110098401616,0,0.389,0,0,3.57448436190865,-49.0726570609149
Alaska,69.633,-148.68365,Sedge 1-1,27639-2,10,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.633,-148.68365,Sedge 1-1,27639-3,10,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.633,-148.68365,Sedge 1-1,27639-4,6,1,0,0,1,0,0,0,0,3.373,-46.35
Alaska,69.63361,-148.68646,Sedge 1-4,27640-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-3,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63361,-148.68646,Sedge 1-4,27640-4,6,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-3,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.63268,-148.68718,Sedge 1-6,27638-4,6,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44373,-148.64062,Tussock 1-1,27642-1,18,1,0,0.166666390473168,0.777776488874785,0,0.056,0,-0.132833113207115,8.02177151205214,-86.6486773585972
Alaska,69.44373,-148.64062,Tussock 1-1,27642-2,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.44373,-148.64062,Tussock 1-1,27642-3,10,1,0,0.300018321862333,0.699981678137667,0,0,0,-0.23911460252428,11.6865076988053,-118.150984824737
Alaska,69.44373,-148.64062,Tussock 1-1,27642-4,6,1,0,0.499998665198559,0.500001334801441,0,0,0,-0.398498936163252,17.2279630126521,-166.01068055265
Alaska,69.44291,-148.64299,Tussock 1-4,27645-1,18,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
Alaska,69.44291,-148.64299,Tussock 1-4,27645-2,10,1,0,0,0,0,0,0,-0.0428,5.3871,-68.443
